App,NumThreads,NumElements,Time,NumIterations,RunType
CacheAccLatency,0,32,1.45833,1000,0
CacheAccLatency,0,32,1.75,1000,0
CacheAccLatency,0,32,1.45833,1000,0
CacheAccLatency,0,64,1.75,1000,0
CacheAccLatency,0,512,1.45833,1000,0
CacheAccLatency,0,1024,1.75,1000,0
CacheAccLatency,0,1600,1.75,1000,0
CacheAccLatency,0,2048,1.45833,1000,0
CacheAccLatency,0,2208,1.75,1000,0
CacheAccLatency,0,2368,2.04167,1000,0
CacheAccLatency,0,2528,1.75,1000,0
CacheAccLatency,0,2816,2.04167,1000,0
CacheAccLatency,0,3072,1.75,1000,0
CacheAccLatency,0,3424,2.04167,1000,0
CacheAccLatency,0,3808,2.04167,1000,0
CacheAccLatency,0,4192,2.04167,1000,0
CacheAccLatency,0,5024,2.625,1000,0
CacheAccLatency,0,6016,2.625,1000,0
CacheAccLatency,0,7008,3.20833,1000,0
CacheAccLatency,0,8192,3.79167,1000,0
CacheAccLatency,0,9024,3.79167,1000,0
CacheAccLatency,0,10016,4.375,1000,0
CacheAccLatency,0,12000,5.25,1000,0
CacheAccLatency,0,16384,7.58333,1000,0
CacheAccLatency,0,18016,9.625,1000,0
CacheAccLatency,0,20000,10.7917,1000,0
CacheAccLatency,0,22016,13.125,1000,0
CacheAccLatency,0,24576,13.125,1000,0
CacheAccLatency,0,29696,14.2917,1000,0
CacheAccLatency,0,32768,14.875,1000,0
CacheAccLatency,0,35840,15.1667,1000,0
CacheAccLatency,0,37024,15.4583,1000,0
CacheAccLatency,0,40000,15.75,1000,0
CacheAccLatency,0,50112,15.4583,1000,0
CacheAccLatency,0,60000,15.75,1000,0
CacheAccLatency,0,62016,15.4583,1000,0
CacheAccLatency,0,65536,15.4583,1000,0
CacheAccLatency,0,68000,15.75,1000,0
CacheAccLatency,0,70016,15.4583,1000,0
CacheAccLatency,0,75104,15.75,1000,0
CacheAccLatency,0,100000,16.0417,1000,0
CacheAccLatency,0,131072,16.9167,1000,0
CacheAccLatency,0,160128,24.2083,1000,0
CacheAccLatency,0,190112,20.7083,1000,0
CacheAccLatency,0,229376,23.0417,1000,0
CacheAccLatency,0,262144,30.3333,1000,0
CacheAccLatency,0,300128,42.5833,1000,0
CacheAccLatency,0,400128,43.1667,1000,0
CacheAccLatency,0,500128,75.5417,1000,0
CacheAccLatency,0,524288,85.1667,1000,0
CacheAccLatency,0,524288,83.4167,1000,0
CacheAccLatency,0,524320,78.4583,1000,0
CacheAccLatency,0,600128,85.1667,1000,0
CacheAccLatency,0,750112,95.6667,1000,0
CacheAccLatency,0,786432,93.9167,1000,0
CacheAccLatency,0,917504,94.7917,1000,0
CacheAccLatency,0,996160,89.25,1000,0
CacheAccLatency,0,1048576,90.7083,1000,0
CacheAccLatency,0,1101024,91,1000,0
CacheAccLatency,0,1572864,93.0417,1000,0
CacheAccLatency,0,1966080,93.3333,1000,0
CacheAccLatency,0,2097152,91.2917,1000,0
CacheAccLatency,0,2228224,92.4583,1000,0
CacheAccLatency,0,2400000,89.25,1000,0
CacheAccLatency,0,2621440,92.75,1000,0
CacheAccLatency,0,3145728,93.0417,1000,0
CacheAccLatency,0,4194304,92.4583,1000,0
CacheAccLatency,0,8388608,92.1667,1000,0
CacheAccLatency,0,10000000,91.5833,1000,0
CacheAccLatency,0,13000000,94.2083,1000,0
CacheAccLatency,0,16777216,93.625,1000,0
CacheAccLatency,0,20000000,91.875,1000,0
CacheAccLatency,0,25000000,97.7083,1000,0
CacheAccLatency,0,33554432,93.3333,1000,0
CacheAccLatency,0,40000000,90.7083,1000,0
CacheAccLatency,0,50000000,93.3333,1000,0
CacheAccLatency,0,67108864,95.0833,1000,0
