App,NumThreads,NumElements,Time,NumIterations,RunType
CacheAccLatency,0,1248,18.436,1000,0
CacheAccLatency,0,2752,18.412,1000,0
CacheAccLatency,0,4256,18.648,1000,0
CacheAccLatency,0,5760,20.16,1000,0
CacheAccLatency,0,7264,27.732,1000,0
CacheAccLatency,0,8768,34.408,1000,0
CacheAccLatency,0,10240,38.28,1000,0
CacheAccLatency,0,11744,41.288,1000,0
CacheAccLatency,0,13248,49.164,1000,0
CacheAccLatency,0,14752,49.54,1000,0
CacheAccLatency,0,32768,49.988,1000,0
CacheAccLatency,0,72832,51.192,1000,0
CacheAccLatency,0,112896,63.192,1000,0
CacheAccLatency,0,152928,84.86,1000,0
CacheAccLatency,0,192992,139.816,1000,0
CacheAccLatency,0,233024,111.256,1000,0
CacheAccLatency,0,273088,103.9,1000,0
CacheAccLatency,0,313120,112.904,1000,0
CacheAccLatency,0,353184,103.872,1000,0
CacheAccLatency,0,393216,112.432,1000,0
CacheAccLatency,0,629152,105.38,1000,0
CacheAccLatency,0,1398112,95.44,1000,0
CacheAccLatency,0,2167072,85.036,1000,0
CacheAccLatency,0,2936032,67.672,1000,0
CacheAccLatency,0,3704992,74.61,1000,0
CacheAccLatency,0,4473952,88.512,1000,0
CacheAccLatency,0,5242880,80.474,1000,0
CacheAccLatency,0,6011840,84.696,1000,0
CacheAccLatency,0,6780800,83.478,1000,0
CacheAccLatency,0,7549760,90.922,1000,0
